Latitude,Longitude,Elevation
42.69051000,18.03526000,29.0
42.69051000,18.03514000,30.0
42.69051000,18.03510000,31.0
42.69049000,18.03502000,31.0
42.69049000,18.03498000,31.0
42.69052000,18.03487000,31.0
42.69053000,18.03482000,31.0
42.69050000,18.03472000,31.0
42.69049000,18.03468000,31.0
42.69045000,18.03462000,31.0
42.69042000,18.03460000,31.0
42.69038000,18.03451000,30.0
42.69036000,18.03448000,30.0
42.69033000,18.03438000,29.0
42.69032000,18.03434000,29.0
42.69028000,18.03425000,29.0
42.69028000,18.03421000,29.0
42.69024000,18.03411000,30.0
42.69023000,18.03408000,31.0
42.69019000,18.03398000,32.0
42.69019000,18.03395000,32.0
42.69016000,18.03384000,33.0
42.69015000,18.03380000,33.0
42.69013000,18.03370000,34.0
42.69012000,18.03366000,34.0
42.69010000,18.03356000,34.0
42.69009000,18.03352000,34.0
42.69008000,18.03342000,34.0
42.69008000,18.03339000,34.0
42.69007000,18.03328000,34.0
42.69008000,18.03324000,33.0
42.69008000,18.03313000,33.0
42.69008000,18.03309000,33.0
42.69008000,18.03297000,32.0
42.69009000,18.03294000,32.0
42.69010000,18.03283000,32.0
42.69011000,18.03279000,32.0
42.69013000,18.03268000,33.0
42.69014000,18.03265000,33.0
42.69016000,18.03255000,34.0
42.69017000,18.03251000,35.0
42.69020000,18.03242000,36.0
42.69021000,18.03238000,37.0
42.69023000,18.03230000,39.0
42.69024000,18.03227000,39.0
42.69027000,18.03216000,41.0
42.69028000,18.03213000,42.0
42.69032000,18.03202000,43.0
42.69033000,18.03198000,44.0
42.69037000,18.03189000,45.0
42.69039000,18.03185000,45.0
42.69044000,18.03176000,46.0
42.69046000,18.03173000,46.0
42.69048000,18.03164000,46.0
42.69049000,18.03161000,46.0
42.69052000,18.03152000,45.0
42.69052000,18.03149000,45.0
42.69055000,18.03138000,44.0
42.69055000,18.03135000,44.0
42.69058000,18.03125000,45.0
42.69059000,18.03123000,45.0
42.69065000,18.03114000,46.0
42.69066000,18.03111000,46.0
42.69071000,18.03102000,48.0
42.69072000,18.03098000,49.0
42.69076000,18.03090000,50.0
42.69077000,18.03087000,51.0
42.69081000,18.03078000,52.0
42.69082000,18.03075000,52.0
42.69087000,18.03066000,52.0
42.69087000,18.03063000,52.0
42.69090000,18.03054000,51.0
42.69090000,18.03051000,50.0
42.69093000,18.03041000,49.0
42.69094000,18.03039000,48.0
42.69097000,18.03030000,47.0
42.69099000,18.03027000,47.0
42.69104000,18.03018000,48.0
42.69106000,18.03015000,48.0
42.69110000,18.03006000,48.0
42.69111000,18.03004000,48.0
42.69115000,18.02994000,49.0
42.69117000,18.02991000,50.0
42.69122000,18.02981000,51.0
42.69124000,18.02978000,51.0
42.69129000,18.02969000,52.0
42.69131000,18.02966000,52.0
42.69135000,18.02956000,53.0
42.69136000,18.02953000,53.0
42.69141000,18.02942000,54.0
42.69142000,18.02940000,54.0
42.69147000,18.02930000,55.0
42.69149000,18.02927000,56.0
42.69154000,18.02917000,57.0
42.69155000,18.02914000,57.0
42.69159000,18.02907000,58.0
42.69160000,18.02903000,58.0
42.69164000,18.02893000,59.0
42.69165000,18.02890000,59.0
42.69167000,18.02880000,59.0
42.69168000,18.02876000,59.0
42.69172000,18.02869000,59.0
42.69173000,18.02865000,59.0
42.69176000,18.02857000,59.0
42.69177000,18.02852000,58.0
42.69180000,18.02843000,58.0
42.69183000,18.02840000,58.0
42.69185000,18.02831000,57.0
42.69184000,18.02827000,57.0
42.69185000,18.02819000,56.0
42.69185000,18.02814000,56.0
42.69185000,18.02805000,56.0
42.69185000,18.02801000,56.0
42.69186000,18.02792000,57.0
42.69186000,18.02787000,57.0
42.69186000,18.02775000,58.0
42.69186000,18.02770000,59.0
42.69185000,18.02761000,60.0
42.69184000,18.02756000,61.0
42.69185000,18.02748000,62.0
42.69185000,18.02743000,62.0
42.69186000,18.02732000,63.0
42.69187000,18.02728000,63.0
42.69188000,18.02719000,64.0
42.69188000,18.02714000,64.0
42.69187000,18.02705000,64.0
42.69188000,18.02700000,64.0
42.69188000,18.02691000,65.0
42.69187000,18.02687000,65.0
42.69189000,18.02677000,65.0
42.69189000,18.02672000,65.0
42.69191000,18.02664000,65.0
42.69191000,18.02659000,65.0
42.69191000,18.02650000,65.0
42.69192000,18.02646000,65.0
42.69193000,18.02636000,64.0
42.69194000,18.02632000,64.0
42.69196000,18.02623000,64.0
42.69196000,18.02618000,64.0
42.69197000,18.02609000,64.0
42.69198000,18.02605000,64.0
42.69200000,18.02595000,65.0
42.69201000,18.02591000,65.0
42.69201000,18.02579000,65.0
